date,value
2014-01,4
2014-02,4
2014-03,6
2014-04,4
2014-05,4
2014-06,5
2014-07,4
2014-08,4
2014-09,6
2014-10,5
2014-11,5
2014-12,7
2015-01,6
2015-02,7
2015-03,8
2015-04,7
2015-05,7
2015-06,8
2015-07,8
2015-08,8
2015-09,9
2015-10,9
2015-11,15
2015-12,22
2016-01,18
2016-02,19
2016-03,37
2016-04,32
2016-05,27
2016-06,39
2016-07,32
2016-08,29
2016-09,35
2016-10,61
2016-11,63
2016-12,100
2017-01,51
2017-02,40
2017-03,34
2017-04,35
2017-05,35
2017-06,35
2017-07,31
2017-08,31
2017-09,26
2017-10,28
2017-11,43
2017-12,61
2018-01,42
2018-02,32
2018-03,31
2018-04,31
2018-05,29
2018-06,30
2018-07,27
2018-08,26
2018-09,24
2018-10,24
2018-11,34
2018-12,49
2019-01,31
2019-02,27
2019-03,28
2019-04,27
2019-05,30
2019-06,33
2019-07,29
2019-08,27
2019-09,24
2019-10,24
2019-11,34
2019-12,46
2020-01,32
2020-02,29
2020-03,31
2020-04,33
2020-05,34
2020-06,32
2020-07,31
2020-08,29
2020-09,29
2020-10,36
2020-11,38
2020-12,47
2021-01,42
2021-02,36
2021-03,39
2021-04,36
2021-05,33
2021-06,32
2021-07,33
2021-08,28
2021-09,28
2021-10,29
2021-11,36
2021-12,39
